x (mm),y (mm),x (m),y (m), pos_x ,pos_y,n
-65673.059,21379.1807,-65.673059,21.3791807,24.326941,21.3791807,133
-65673.059,19968.6463,-65.673059,19.9686463,24.326941,19.9686463,134
-68961.559,21379.1807,-68.961559,21.3791807,21.038441,21.3791807,135
-72237.7682,20002.1222,-72.2377682,20.0021222,17.7622318,20.0021222,136
-74731.4169,20002.1222,-74.7314169,20.0021222,15.2685831,20.0021222,137
-74731.4169,21412.6566,-74.7314169,21.4126566,15.2685831,21.4126566,138
-72237.7682,21412.6566,-72.2377682,21.4126566,17.7622318,21.4126566,139
-68961.559,19968.6463,-68.961559,19.9686463,21.038441,19.9686463,140
-71455.2076,19968.6463,-71.4552076,19.9686463,18.5447924,19.9686463,141
-71455.2076,21379.1807,-71.4552076,21.3791807,18.5447924,21.3791807,142
-65051.2622,20107.5994,-65.0512622,20.1075994,24.9487378,20.1075994,143
-58874.2622,21507.5994,-58.8742622,21.5075994,31.1257378,21.5075994,144
-59497.6135,21507.5994,-59.4976135,21.5075994,30.5023865,21.5075994,145
-59497.6135,20107.5994,-59.4976135,20.1075994,30.5023865,20.1075994,146
-58874.2622,20107.5994,-58.8742622,20.1075994,31.1257378,20.1075994,147
-56380.6135,21507.5994,-56.3806135,21.5075994,33.6193865,21.5075994,148
-56380.6135,20107.5994,-56.3806135,20.1075994,33.6193865,20.1075994,149
-57822.2421,17853.0225,-57.8222421,17.8530225,32.1777579,17.8530225,150
-59497.6135,18707.5994,-59.4976135,18.7075994,30.5023865,18.7075994,151
-62557.6135,20107.5994,-62.5576135,20.1075994,27.4423865,20.1075994,152
-62557.6135,18707.5994,-62.5576135,18.7075994,27.4423865,18.7075994,153
-65051.2622,18707.5994,-65.0512622,18.7075994,24.9487378,18.7075994,154
-62557.6135,21507.5994,-62.5576135,21.5075994,27.4423865,21.5075994,155
-61991.2622,18707.5994,-61.9912622,18.7075994,28.0087378,18.7075994,156
-61991.2622,20107.5994,-61.9912622,20.1075994,28.0087378,20.1075994,157
-61991.2622,21507.5994,-61.9912622,21.5075994,28.0087378,21.5075994,158
-82056.9158,22958.9303,-82.0569158,22.9589303,7.9430842,22.9589303,159
